timestamp,total_throughput
0,0.410496
60000,0.293398
120000,0.290953
180000,0.241291
240000,0.254463
300000,0.293704
360000,0.289103
420000,0.272819
480000,0.272146
540000,0.24611
600000,0.338382
660000,0.336674
720000,0.337541
780000,0.289401
840000,0.275291
900000,0.300555
960000,0.295878
1020000,0.259037
1080000,0.274883
1140000,0.293484
1200000,0.343833
1260000,0.340002
1320000,0.31034
1380000,0.304745
1440000,0.300353
1500000,0.310775
1560000,0.315587
1620000,0.281433
1680000,0.321945
1740000,0.293165
1800000,0.418932
1860000,0.377182
1920000,0.364295
1980000,0.332975
2040000,0.328107
2100000,0.341145
2160000,0.364176
2220000,0.318798
2280000,0.337576
2340000,0.33345
2400000,0.420371
2460000,0.392122
2520000,0.385246
2580000,0.379509
2640000,0.359913
2700000,0.398983
2760000,0.412836
2820000,0.385372
2880000,0.403321
2940000,0.390187
3000000,0.454494
3060000,0.446039
3120000,0.453009
3180000,0.415003
3240000,0.425242
3300000,0.455776
3360000,0.485765
3420000,0.464861
3480000,0.484836
3540000,0.592257
3600000,0.911444
3660000,0.73694
3720000,0.707984
3780000,0.64585
3840000,0.644014
3900000,0.645022
3960000,0.652207
4020000,0.612363
4080000,0.62917
4140000,0.615611
4200000,0.688993
4260000,0.65352
4320000,0.688012
4380000,0.397231
4440000,0.641733
4500000,0.640792
4560000,0.641955
4620000,0.639029
4680000,0.619822
4740000,0.664727
4800000,0.724228
4860000,0.700831
4920000,0.686137
4980000,0.659927
5040000,0.662541
5100000,0.672907
5160000,0.671619
5220000,0.651919
5280000,0.655396
5340000,0.645481
5400000,0.757705
5460000,0.757381
5520000,0.753698
5580000,0.709949
5640000,0.704756
5700000,0.723186
5760000,0.712999
5820000,0.683525
5880000,0.708664
5940000,0.671371
6000000,0.759929
6060000,0.715427
6120000,0.750475
6180000,0.704354
6240000,0.709072
6300000,0.746904
6360000,0.766178
6420000,0.716336
6480000,0.695619
6540000,0.698389
6600000,0.78012
6660000,0.758681
6720000,0.751862
6780000,0.73153
6840000,0.731168
6900000,0.758625
6960000,0.753583
7020000,0.754872
7080000,0.76642
7140000,0.805293
7200000,1
7260000,0.904587
7320000,0.843964
7380000,0.834075
7440000,0.830144
7500000,0.841365
7560000,0.8181
7620000,0.805261
7680000,0.803654
7740000,0.793404
7800000,0.968017
7860000,0.842596
7920000,0.847267
7980000,0.804389
8040000,0.821633
8100000,0.847424
8160000,0.839045
8220000,0.798179
8280000,0.823268
8340000,0.795122
8400000,0.878453
8460000,0.859863
8520000,0.854542
8580000,0.802888
8640000,0.811777
8700000,0.816739
8760000,0.823374
8820000,0.751117
8880000,0.761927
8940000,0.728073
9000000,0.832009
9060000,0.792616
9120000,0.755075
9180000,0.7152
9240000,0.705843
9300000,0.710077
9360000,0.730419
9420000,0.679689
9480000,0.664317
9540000,0.651411
9600000,0.715437
9660000,0.687434
9720000,0.669836
9780000,0.628199
9840000,0.642035
9900000,0.670908
9960000,0.670364
10020000,0.622785
10080000,0.625741
10140000,0.590202
10200000,0.614642
10260000,0.58357
10320000,0.592301
10380000,0.550605
10440000,0.5405
10500000,0.547817
10560000,0.54975
10620000,0.500426
10680000,0.496518
10740000,0.510685
10800000,0.763226
10860000,0.65589
10920000,0.604374
10980000,0.547888
11040000,0.525181
11100000,0.502552
11160000,0.466924
11220000,0.419528
11280000,0.406972
11340000,0.399861
11400000,0.467449
11460000,0.453235
11520000,0.412088
11580000,0.375749
11640000,0.389647
11700000,0.401056
