timestamp,total_throughput
0,8542393.1
60000,8232594.433333334
120000,8226125.716666666
180000,8094740.300000001
240000,8129588.216666665
300000,8233403.549999999
360000,8221233.116666666
420000,8178150.999999999
480000,8176369.899999999
540000,8107487.666666666
600000,8351605.916666668
660000,8347087.966666665
720000,8349379.933333334
780000,8222020.516666665
840000,8184690.900000001
900000,8251529.716666667
960000,8239154.933333334
1020000,8141688.3166666655
1080000,8183610.183333331
1140000,8232823.616666668
1200000,8366027.5666666655
1260000,8355891.583333333
1320000,8277416.483333334
1380000,8262613.633333334
1440000,8250994.283333333
1500000,8278568.9833333315
1560000,8291297.866666665
1620000,8200940.549999999
1680000,8308119.7666666685
1740000,8231978.949999998
1800000,8564710.933333334
1860000,8454256.066666666
1920000,8420162.766666668
1980000,8337301.666666666
2040000,8324421.0666666655
2100000,8358916.483333334
2160000,8419847.333333334
2220000,8299794.966666666
2280000,8349473.316666666
2340000,8338558.483333332
2400000,8568516.616666667
2460000,8493780.7
2520000,8475590.899999999
2580000,8460411.166666668
2640000,8408567.783333333
2700000,8511933.366666665
2760000,8548583.566666665
2820000,8475922.149999999
2880000,8523409.116666665
2940000,8488662.583333334
3000000,8658793.4
3060000,8636424.633333333
3120000,8654866.333333332
3180000,8554314.649999999
3240000,8581403.633333333
3300000,8662185.416666668
3360000,8741523.883333333
3420000,8686220.866666663
3480000,8739066.216666665
3540000,9023261.799999999
3600000,9867710.166666668
3660000,9406037.933333332
3720000,9329431.216666667
3780000,9165049.816666668
3840000,9160190.966666665
3900000,9162859.399999999
3960000,9181867.266666666
4020000,9076455.250000002
4080000,9120920.899999997
4140000,9085047.25
4200000,9279188.566666665
4260000,9185341.9
4320000,9276594.366666669
4380000,8507297.6
4440000,9154156.616666665
4500000,9151667.233333334
4560000,9154744.583333332
4620000,9147002.966666667
4680000,9096189.116666665
4740000,9214991.183333334
4800000,9372407.366666667
4860000,9310507.933333332
4920000,9271633.799999999
4980000,9202292.666666666
5040000,9209206.083333336
5100000,9236631.83333333
5160000,9233223.083333334
5220000,9181106.316666663
5280000,9190303.5
5340000,9164074.116666665
5400000,9460975.516666668
5460000,9460118.016666668
